C0001;username=john;password=1234;firstName=John;lastName=Black;
C0002;username=alice;password=alicepass;firstName=Alice;lastName=Smith;
C0003;username=bob;password=bob321;firstName=Bob;lastName=Johnson;
C0004;username=emma;password=emmapw;firstName=Emma;lastName=Williams;
C0005;username=michael;password=mikepass;firstName=Michael; lastName=Brown;
C0006;username=sophia;password=soph123;firstName=Sophia;lastName=Jones;
C0007;username=david;password=dave789;firstName=David;lastName=Garcia;
C0008;username=linda;password=linda456;firstName=Linda;lastName=Miller;
C0009;username=daniel;password=danpass;firstName=Daniel;lastName=Davis;
C0010;username=olivia;password=olivia1;firstName=Olivia;lastName=Martinez;
C0011;username=lebin;password=lebin123;firstName=Lebin;lastName=Siow;
